School,2025 School Ranking,2024 School Ranking,2023 School Ranking,Success Rate (%),HSC Students,Total HSC exam entries,High Scores
North Sydney Boys High School,1,1,1,71.6,156,926,663
James Ruse Agricultural High School,2,2,2,70.43,158,1001,705
Sydney Grammar School,3,3,7,60.99,199,1251,763
North Sydney Girls High School,4,8,4,60.46,155,908,549
Normanhurst Boys High School,5,4,8,57.73,124,750,433
Sydney Boys High School,6,9,13,54.19,212,1205,653
Baulkham Hills High School,7,6,3,51.53,205,1209,623
Hornsby Girls High School,8,7,14,51.05,122,711,363
St Aloysius’ College,9,14,6,48.03,162,1016,488
Reddam House,10,5,5,46.99,154,830,390
Abbotsleigh,11,10,10,45.58,184,1086,495
Ascham School,12,23,17,45.43,119,634,288
Sydney Girls High School,13,17,20,44.24,167,999,442
Ravenswood School for Girls,14,40,34,42.68,138,806,344
Conservatorium High School,15,13,6,42.55,40,235,100
Presbyterian Ladies’ College – Sydney,16,35,28,42.41,164,922,391
Penrith Selective High School,17,30,35,41.66,158,917,382
Pymble Ladies’ College,18,21,19,40.63,286,1585,644
Roseville College,19,25,33,40.58,121,690,280
Fort Street High School,20,28,23,40.2,158,898,361
SCEGGS Darlinghurst,21,16,9,39.02,109,656,256
Merewether High School,22,29,44,38.71,180,1041,403
Al-Faisal College,23,22,15,38.59,133,710,274
Meriden School,24,11,12,38.11,211,1186,452
Northern Beaches Secondary College Manly Campus,25,15,18,38.01,128,784,298
Girraween High School,26,32,32,37.83,140,801,303
SHORE – Sydney Church of England Grammar School,27,26,24,37.59,224,1237,465
Alpha Omega Senior College,28,19,27,36.07,134,671,242
Knox Grammar School,29,18,11,35.97,374,2013,724
Loreto Kirribilli,30,20,22,35.44,143,821,291
Caringbah High School,31,80,41,34.36,152,876,301
Queenwood,32,36,42,34.1,91,519,177
Gosford High School,33,53,64,33.84,165,993,336
Kincoppal – Rose Bay School of the Sacred Heart,34,68,49,33.76,102,628,212
Wenona School,35,27,31,33.75,169,954,322
Kambala,36,12,25,33.7,72,451,152
Northholm Grammar School,37,31,45,33.2,49,244,81
St Catherine’s School – Waverley,38,24,21,33.14,131,703,233
Tara Anglican School for Girls,39,66,30,32.45,95,567,184
Loreto Normanhurst,40,63,47,31.35,176,1008,316
Al Noori Muslim School,41,39,16,30.86,133,674,208
The King’s School,42,34,26,30.82,248,1353,417
Hurlstone Agricultural High School,43,44,39,29.39,182,1041,306
Parramatta Marist High School,44,59,68,29.28,137,724,212
St George Girls High School,45,38,59,29.02,155,858,249
Sydney Tech High School,46,51,55,28.64,150,817,234
Cranbrook School,47,43,40,28.44,181,981,279
Brigidine College St Ives,48,95,75,27.87,150,818,228
Monte Sant’ Angelo Mercy College,49,65,72,27.54,167,944,260
Barker College,50,47,37,27.51,358,1963,540
Emanuel School,51,42,65,27.08,80,480,130
Newington College,52,127,138,26.86,182,1046,281
Brigidine College Randwick,53,67,50,26.65,118,668,178
Tangara School for Girls,54,87,62,25.64,44,234,60
The Illawarra Grammar School,55,74,170,25.42,92,472,120
Frensham School,56,50,46,25.13,68,382,96
Willoughby Girls High School,57,55,56,24.97,146,757,189
MLC School,58,139,60,24.95,83,477,119
Saint Ignatius’ College,59,71,69,24.94,233,1335,333
Moriah College,60,33,29,24.82,103,552,137
Newcastle Grammar School,61,84,52,24.7,114,668,165
Smiths Hill High School,62,54,48,24.63,133,751,185
Northern Beaches Secondary College Balgowlah Boys Campus,63,64,54,24.5,154,796,195
Chatswood High School,64,58,63,24.12,288,1526,368
St Luke’s Grammar School,65,45,38,23.54,127,735,173
St Vincent’s College,66,85,58,23.54,142,786,185
"St Patrick’s College, Strathfield",67,89,105,23.48,187,1056,248
Masada College,68,37,66,23.36,46,244,57
Marist Catholic College North Shore,69,76,118,23.16,95,531,123
Danebank – An Anglican School for Girls,70,52,67,22.67,68,419,95
St Augustine’s College Sydney,71,62,94,22.64,200,1038,235
St Joseph’s College (Hunters Hill),72,88,74,22.47,193,1037,233
Cherrybrook Technology High School,73,94,92,22.17,322,1764,391
St Andrew’s Cathedral School,74,136,84,22.12,123,669,148
Cheltenham Girls High School,75,57,87,22.06,235,1251,276
Mount St Benedict College,76,77,79,22.05,149,839,185
St Clare’s College,77,48,70,21.77,112,611,133
Sefton High School,78,129,109,21.53,177,957,206
Santa Sabina College,79,86,36,21.49,113,684,147
Bethany College,80,82,99,21.45,160,858,184
The Scots College,81,41,51,21.33,206,1172,250
Pittwater House Schools,82,49,95,20.92,108,564,118
Waverley College,83,115,134,20.45,177,929,190
International Grammar School,84,79,122,20.34,105,590,120
Georges River Grammar,85,199,98,20.28,80,434,88
Lindfield Learning Village,86,103,–,20.27,43,222,45
Oxley College,87,100,162,20.1,71,403,81
St Mark’s Coptic Orthodox College,88,108,182,19.79,53,283,56
Killarney Heights High School,89,110,132,19.59,160,827,162
St Spyridon College,90,81,78,19.56,65,363,71
Central Coast Grammar School,91,46,53,19.45,118,653,127
Rose Bay Secondary College,92,109,119,19.41,186,979,190
Stella Maris College,93,96,61,19.35,118,589,114
Parramatta High School,94,99,131,19.35,185,1023,198
Our Lady of Mercy College Parramatta,95,70,71,19.31,162,865,167
Cammeraygal High School,96,121,85,18.93,144,750,142
Newtown High School of Performing Arts,97,56,89,18.66,196,1013,189
Covenant Christian School,98,133,142,18.36,82,414,76
Marist Catholic College Penshurst,99,97,145,18.16,154,804,146
Epping Boys High School,100,60,80,17.72,232,1230,218
Mercy Catholic College,101,157,128,17.67,125,713,126
SCECGS Redlands,102,131,91,17.55,75,416,73
St Ursula’s College,103,92,76,17.44,165,975,170
Redeemer Baptist School,104,–,–,17.37,29,167,29
St George Christian School,105,107,111,17.35,73,392,68
St Mary and St Mina’s Coptic Orthodox College,106,101,–,17.24,39,203,35
Aquinas Catholic College,107,175,108,17.08,138,773,132
Arden Anglican School,108,73,57,17.05,108,604,103
St Mary’s Cathedral College,109,126,135,16.85,103,552,93
